Rank;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
48;Manchester, United Kingdom;146.80;87.46;43.85;78.42;72.50;7.55;40.70;52.96;86.95
49;Bratislava, Slovakia;146.46;59.05;68.99;57.60;52.69;13.77;30.59;40.90;80.72
50;Birmingham, United Kingdom;145.45;74.70;40.44;74.16;70.79;7.14;32.55;49.55;87.66
51;Brussels, Belgium;143.24;86.65;49.20;74.97;79.05;6.08;37.11;62.13;83.85
52;Riga, Latvia;142.27;46.71;62.07;60.73;55.43;9.59;31.88;38.34;74.70
53;Nizhny Novgorod, Russia;140.59;32.46;68.30;75.68;33.84;11.51;28.96;33.92;45.51
54;Genoa, Italy;139.57;52.46;56.84;70.60;79.71;8.35;35.04;53.85;95.00
55;Bologna, Italy;139.03;54.46;55.29;78.52;77.02;10.86;32.66;54.44;88.12
56;Dublin, Ireland;137.25;67.67;50.46;52.06;86.01;9.25;40.12;39.88;85.89
57;Novi Sad, Serbia;135.89;38.92;59.71;49.66;39.79;14.67;16.61;45.67;84.02
58;Barcelona, Spain;134.28;56.46;54.49;77.68;66.18;13.74;29.94;64.80;95.73
59;Varna, Bulgaria;132.88;41.42;68.38;62.01;41.33;9.25;30.85;63.35;85.08
60;Iasi, Romania;129.83;43.09;70.88;57.64;39.02;10.84;33.09;58.44;73.04
61;Warsaw, Poland;129.74;52.04;73.56;60.65;46.70;15.10;35.08;59.52;74.61
62;Gdansk, Poland;129.10;42.40;68.50;49.93;44.78;18.31;29.24;44.76;75.51
63;London, United Kingdom;128.09;80.12;47.19;71.26;86.75;15.65;43.81;58.86;88.25
64;Wroclaw, Poland;126.13;45.25;72.68;57.53;43.55;16.16;32.96;60.69;78.39
65;Poznan, Poland;126.07;41.61;72.07;55.08;43.42;16.00;30.97;57.93;77.41
66;Turin, Italy;125.80;58.53;49.72;67.22;73.37;8.33;29.44;71.28;85.66
67;Lodz, Poland;123.32;45.18;57.76;53.80;41.31;11.59;30.42;59.84;77.02
68;Budapest, Hungary;123.21;50.79;63.95;49.10;45.39;14.69;39.10;54.12;78.41
69;Sarajevo, Bosnia And Herzegovina;123.12;52.98;52.94;56.51;40.34;9.63;28.65;67.82;78.18
70;Lviv, Ukraine;121.29;29.25;58.57;59.08;29.11;11.72;33.26;52.89;69.61
71;Sofia, Bulgaria;120.75;47.09;58.24;57.18;43.94;9.82;30.72;68.76;76.01
72;Krakow (Cracow), Poland;120.55;46.94;73.82;58.83;43.04;16.46;30.71;70.75;73.86
73;Athens, Greece;120.14;41.36;47.70;56.41;60.99;11.15;38.21;57.28;95.18
74;Paris, France;118.60;69.34;46.81;79.49;94.23;20.97;40.76;64.54;88.39
75;Thessaloniki, Greece;117.83;34.59;52.42;55.86;62.86;11.22;28.00;63.77;88.39
76;Milan, Italy;117.17;50.71;56.44;71.89;83.65;17.85;36.62;67.40;88.12
77;Bucharest, Romania;116.09;48.35;72.02;54.47;42.84;10.60;42.05;75.51;75.61
78;Belgrade, Serbia;109.96;36.00;61.46;53.31;42.63;19.77;35.96;63.79;84.14
79;Minsk, Belarus;108.97;33.31;38.25;45.77;32.06;17.38;30.10;41.40;64.37
80;Kharkiv, Ukraine;108.80;29.85;51.61;47.27;30.15;10.25;37.82;56.20;65.35
81;Rome, Italy;107.81;49.38;47.87;59.25;78.79;17.53;41.98;66.63;93.70
82;Odessa (Odesa), Ukraine;107.37;32.49;46.09;50.68;31.05;11.39;36.03;64.15;79.00
83;Kiev (Kyiv), Ukraine;106.75;37.94;53.37;55.99;31.92;12.30;43.00;65.76;69.95
84;Saint Petersburg, Russia;104.52;39.15;60.57;59.11;36.35;16.34;47.53;62.30;60.64
85;Moscow, Russia;103.85;46.47;61.23;63.33;41.46;21.12;51.39;57.50;55.83
86;Skopje, North Macedonia;102.57;32.82;56.53;56.35;37.41;13.46;28.60;82.92;76.30
87;Dnipro, Ukraine;96.10;31.80;46.63;51.29;29.12;9.64;32.44;82.27;69.52
88;Tirana, Albania;90.85;27.43;61.08;48.78;42.12;16.21;39.93;87.89;86.43
89;Yekaterinburg, Russia;88.41;44.67;52.92;50.88;31.88;9.68;38.53;76.86;21.33
90;Novosibirsk, Russia;87.24;34.90;53.43;54.58;31.93;11.20;40.09;69.33;16.14
